2100,NDR Fuchsberg,439.82500,430.42500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2101,FMT Bredstedt,438.55000,430.95000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2102,Silberstedt,439.92500,430.52500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2103,FMT Schleswig,438.53750,430.93750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2104,Kiel 1,438.42500,430.82500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2105,Kiel 2,439.48750,431.88750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2106,Heiligenhafen,438.87500,431.27500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2107,FMT Heide,438.33750,430.73750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2108,Kronprinzenkoog,439.97500,430.57500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2109,Itzehoe,439.87500,430.47500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
