"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"175","439.82500","430.42500","1","Slot2","NDR Fuchsberg"
"176","438.55000","430.95000","1","Slot2","FMT Bredstedt"
"177","439.92500","430.52500","1","Slot2","Silberstedt"
"178","438.53750","430.93750","1","Slot2","FMT Schleswig"
"179","438.42500","430.82500","1","Slot2","Kiel 1"
"180","439.48750","431.88750","1","Slot2","Kiel 2"
"181","438.87500","431.27500","1","Slot2","Heilighafen"
"182","438.33750","430.73750","1","Slot2","FMT Heide"
"183","439.97500","430.57500","1","Slot2","Kronprinzenkroog"
"184","439.87500","430.47500","1","Slot2","Itzehoej"
"185","439.95000","430.55000","1","Slot2","Lubeck 1"
"186","438.41250","430.81250","1","Slot2","Lubeck 2"
"187","439.96250","430.56250","1","Slot2","Ludersdorf"
"188","439.50000","431.90000","1","Slot2","Ahrensburg"
"189","439.52500","431.92500","1","Slot2","Grosshandsdorf"
"190","438.52500","430.92500","1","Slot2","Lutjensee"
"191","439.56250","431.96250","1","Slot2","Halburg-Lokstedt"
"192","438.80000","431.20000","1","Slot2","Stade"
"193","438.92500","431.32500","1","Slot2","Hamburg"
"194","438.46250","430.86250","1","Slot2","Bremervorde"
"195","438.55000","430.95000","1","Slot2","Geesthacht"
"196","438.83750","431.23750","1","Slot2","Basedow"
"197","439.03750","431.43750","1","Slot2","Winsen"
"198","438.68375","431.03750","1","Slot2","Buchholz"
"199","438.50000","430.90000","1","Slot2","Luneburg"
"200","439.88750","430.48750","1","Slot2","Bremerhaven"
"201","439.52500","431.92500","1","Slot2","Dammer Berge"
"202","145.71250","145.11250","1","Slot2","Osnabruck 1"
"203","439.95000","430.55000","1","Slot2","Osnabruck 2"
"204","439.56250","431.96250","1","Slot2","Osnabruck 3"
"205","438.51250","430.91250","1","Slot2","Rheine"
"206","439.01250","431.41250","1","Slot2","Herford"
"207","439.48750","431.88750","1","Slot2","Schoppingen"
"208","438.46250","430.86250","1","Slot2","Legden"
"209","438.36250","430.76250","1","Slot2","Stadtlohn"
"210","438.42500","430.82500","1","Slot2","Rees"
