No.,Name,Roaming Channel Member
1,Roaming SM0,Botkyrka 2|Brandbergen|Dalaro|Galo|Johanneshov|Hogdalen|Kista 5|Kista 6|Norrtalje|Nynashamn 2|Sigtuna|Taby 2|Upplands Vasby 2|Almsta 1|Almsta 2|Haninge 4|Stockholm
2,Roaming SM2,Boden 2|Kalix 1|Kalix-Vattentorn|Kalix 3|Kalix 4|Kiruna 2|Lulea 2|Pitea 3|Seskaro|Vannas 3
3,Roaming SM3,Follinge|Gavle 1|Hudiksvall 1|Hudiksvall 2|Sundsvall 3|Sundsvall 4|Soderhamn 3|Ornskoldsvik 1|Ostersund 3
4,Roaming SM4,Arvika 2|Borlange 2|Falun 2|Karlskoga 1|Karlskoga 2|Leksand 1|Leksand 3|Vansbro 3|Orebro 2|Smedjebacken|Eksharad HI|Sunne 2 HI|Nusnas
5,Roaming SM5,Flen 1|Knivsta|Linkoping 1|Linkoping 4|Linkoping 7|Norrkoping 4|Nykoping 2|Sala 2|Uppsala 1|Uppsala 4|Uppsala 5|Uppsala 6|Uppsala 3 H|Finspang 3|Stigtomta LF
6,Roaming SM6,Alingsas 3|Bengtsfors 1|Bengtsfors 2|Boras 3|Dingle|Floda 2|Goteborg 5|Kortedala 2|Kungshamn|Ockero 2|Skara 3|Skene 2 HI|Stenungsund 2|Stenungsund 3|Tanumshede|Trollhattan 1|Trollhattan 3|Uddevalla 1|Uddevalla 2
7,Roaming SM7,Algutsrum 2|Aneby 3/Sjobo|Bjarnum|Bzhlm/Hbg 2|Ekenassjon 2|Eksjo|Emmaboda 2|Gladsax 1|Soderasen 2|Hoor|Jkp 3/O-ljunga|Kristianstad 2|Linderod|Lund 2|Malmo 2|Nassjo 1|Nassjo 4|Savsjo|Sodra Vi|Tomelilla|Vaxjo 2|Vastervik 2|Malmo 1|Gladsax 1 I|Eksharad HI|Olofstrom 2 I|Sodra_Vi|Ekenassjon 1 H|Sjobo
8,Roaming LA,Aamot|Bardufoss|Bergen|Drammen|Follo|Geilo|Grimstad|Harstad|Hvittingen|Kolsas|Kongsberg|Kongsvinger 1|Mo i Rana|Mosjoen|Narvik|Oppegaard|Sandnessjoen|Skien Vealoes|Stavanger|Tromso|Haugesund 1|Mo_i_Rana 1|Vangsasen
9,Roaming OH,Aanekoski|Espoo|Hameenlinna|Helsinki|Imatra|Jamsa Himos|Jomala|Jyvaskyla|Kokkola|Kotka|Kouvola|Kuusamo|Lahti|Lappeenranta|Lohja|Mikkeli|Nurmijarvi|Oulu 1|Oulu 2|Pori|Porvoo|Raasepori|Tampere|Tampere Hervanta|Tampere Tesoma|Tervola|Vantaa|Viitasaari|Virrat|Ylivieska
10,Roaming OZ,Aarhus S|Frederikshavn|Gorlose|Herlev|Regnemark|Helsingor 2|Vodskov|Fredrikstad 4|Gilleleje|Aalborg 3 +
